<frozen runpy>:128: RuntimeWarning: 'core.data_parser.main' found in sys.modules after import of package 'core.data_parser', but prior to execution of 'core.data_parser.main'; this may result in unpredictable behaviour
2025-12-02 12:40:35,793 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 6 | Score: 0 | Mapping: {}
2025-12-02 12:40:35,793 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 7 | Score: 1 | Mapping: {'col_item': 'H'}
2025-12-02 12:40:35,793 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 8 | Score: 0 | Mapping: {}
2025-12-02 12:40:35,795 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 9 | Score: 121 | Mapping: {'col_unit_price': 'O', 'col_amount': 'P', 'col_dc': 'A', 'col_po': 'B', 'col_line_no': 'C', 'col_direction': 'D', 'col_production_date': 'E', 'col_production_order_no': 'F', 'col_reference_code': 'G', 'col_item': 'H', 'col_level': 'I', 'col_qty_pcs': 'J', 'col_qty_sf': 'K', 'col_pallet_count': 'L', 'col_net': 'M', 'col_gross': 'N', 'col_cbm': 'R'}
2025-12-02 12:40:35,796 - INFO - sheet_parser.py:187 - [find_and_map_smart_headers_v12] Found new best candidate row at 9 with score 121.
2025-12-02 12:40:35,796 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 10 | Score: 0 | Mapping: {}
2025-12-02 12:40:35,797 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 11 | Score: 4 | Mapping: {'col_cbm': 'R'}
2025-12-02 12:40:35,798 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 12 | Score: 0 | Mapping: {}
2025-12-02 12:40:35,799 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 13 | Score: 4 | Mapping: {'col_cbm': 'R'}
2025-12-02 12:40:35,800 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 14 | Score: 0 | Mapping: {}
2025-12-02 12:40:35,801 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 15 | Score: 4 | Mapping: {'col_cbm': 'R'}
2025-12-02 12:40:35,802 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 16 | Score: 0 | Mapping: {}
2025-12-02 12:40:35,803 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 17 | Score: 0 | Mapping: {}
2025-12-02 12:40:35,804 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 18 | Score: 4 | Mapping: {'col_cbm': 'R'}
2025-12-02 12:40:35,805 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 19 | Score: 0 | Mapping: {}
2025-12-02 12:40:35,807 - INFO - sheet_parser.py:182 - [find_and_map_smart_headers_v12] Evaluated Row 20 | Score: 0 | Mapping: {}
2025-12-02 12:40:35,807 - INFO - sheet_parser.py:190 - [find_and_map_smart_headers_v12] SUCCESS: Confirmed header row at 9 with final score 121.
2025-12-02 12:40:35,807 - INFO - main.py:492 - Smart detection successful. Found and validated primary header on row 9.
2025-12-02 12:40:35,807 - DEBUG - main.py:493 - Validated Column Mapping:
{'col_amount': 'P',
 'col_cbm': 'R',
 'col_dc': 'A',
 'col_direction': 'D',
 'col_gross': 'N',
 'col_item': 'H',
 'col_level': 'I',
 'col_line_no': 'C',
 'col_net': 'M',
 'col_pallet_count': 'L',
 'col_po': 'B',
 'col_production_date': 'E',
 'col_production_order_no': 'F',
 'col_qty_pcs': 'J',
 'col_qty_sf': 'K',
 'col_reference_code': 'G',
 'col_unit_price': 'O'}
2025-12-02 12:40:35,808 - INFO - sheet_parser.py:271 - [find_all_header_rows] Searching for additional headers using pattern '^(批次号|订单号|物料代码|总张数|净重|毛重|po|item|pcs|net|gross|TTX编号)$' in rows 10-53
2025-12-02 12:40:35,810 - INFO - main.py:507 - Found a total of 1 table(s) to process at rows: [9]
2025-12-02 12:40:35,810 - WARNING - main.py:513 - Column 'col_desc' not found during mapping. Aggregation keys will use None for description.
2025-12-02 12:40:35,810 - INFO - main.py:516 - Extracting data for all tables...
2025-12-02 12:40:35,810 - INFO - sheet_parser.py:216 - [extract_multiple_tables] Starting extraction for 1 tables: [9]
2025-12-02 12:40:35,811 - INFO - sheet_parser.py:234 - [extract_multiple_tables] Table 1: Extracting Data Rows 10 to 53
2025-12-02 12:40:35,819 - INFO - sheet_parser.py:241 - [extract_multiple_tables] Stopping extraction for Table 1 at row 53: Empty cell in stop column 'col_item'.
2025-12-02 12:40:35,819 - INFO - sheet_parser.py:251 - [extract_multiple_tables] Successfully stored 43 rows for Table Index 1.
2025-12-02 12:40:35,822 - DEBUG - main.py:521 - --- Raw Extracted Data (1 Table(s)) ---
{1: {'col_amount': [11839.36,
                    1621.737,
                    6871.8,
                    103.5,
                    6757.625,
                    44.296,
                    9687.75,
                    7418.75,
                    224.983,
                    471.471,
                    15130.955,
                    13878.259,
                    372.504,
                    16316.305,
                    2571.983,
                    323,
                    1405.357,
                    6095.125,
                    1058.358,
                    13836,
                    8295.875,
                    1225.937,
                    6771.625,
                    615.737,
                    12052.75,
                    6517.375,
                    1328.428,
                    2130.75,
                    620.37,
                    755.144,
                    7808.25,
                    322.389,
                    13604.75,
                    12594.375,
                    1126.836,
                    13307.875,
                    11463.25,
                    1089.885,
                    5396.25,
                    90.513,
                    3368.625,
                    258.544,
                    498.094],
     'col_cbm': ['2.2*1.8*0.63',
                 None,
                 '2.2*1.8*0.45',
                 None,
                 '2.2*1.8*0.46',
                 None,
                 '2.2*1.8*0.54',
                 '2.2*1.8*0.49',
                 None,
                 '2.2*1.8*0.42',
                 '2.2*1.8*0.7',
                 '2.2*1.8*0.65',
                 None,
                 '2.2*1.8*0.76',
                 '2.2*1.8*0.27',
                 None,
                 '2.2*1.8*0.38',
                 '2.2*1.8*0.42',
                 None,
                 '2.2*1.8*0.67',
                 '2.2*1.8*0.6',
                 None,
                 '2.2*1.8*0.49',
                 None,
                 '2.2*1.8*0.6',
                 '2.2*1.8*0.6',
                 '2.2*1.8*0.6',
                 '2.2*1.8*0.4',
                 None,
                 None,
                 '2.2*1.8*0.47',
                 None,
                 '2.2*1.8*0.7',
                 '2.2*1.8*0.69',
                 None,
                 '2.2*1.8*0.65',
                 '2.2*1.8*0.63',
                 None,
                 '2.2*1.8*0.4',
                 None,
                 '2.2*1.8*0.37',
                 None,
                 None],
     'col_dc': ['CLF-251002',
                'CLF-251002',
                'CLF-250816',
                'CLF-250816',
                'CLF-250221',
                'CLF-250221',
                'CLF-251022',
                'CLF-251022',
                'CLF-251022',
                'CLF-250219',
                'CLF-251115',
                'CLF-251115',
                'CLF-251115',
                'CLF-251115',
                'CLF-251115',
                'CLF-251115',
              
... (output truncated)
2025-12-02 12:40:35,822 - INFO - main.py:527 - --- Starting Data Processing Loop for 1 Extracted Table(s) ---
2025-12-02 12:40:35,823 - INFO - main.py:534 - --- Processing Table Index 1 ---
2025-12-02 12:40:35,823 - INFO - main.py:541 - Table 1: Calculating CBM values...
2025-12-02 12:40:35,823 - INFO - data_processor.py:306 - [process_cbm_column] Processing 'col_cbm' column for volume calculations (List length: 43)...
2025-12-02 12:40:35,823 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.63'. for CBM at row index 0
2025-12-02 12:40:35,823 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.4948 from '2.2*1.8*0.63' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.63')]). for CBM at row index 0
2025-12-02 12:40:35,823 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 1
2025-12-02 12:40:35,823 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.45'. for CBM at row index 2
2025-12-02 12:40:35,823 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.7820 from '2.2*1.8*0.45' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.45')]). for CBM at row index 2
2025-12-02 12:40:35,824 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 3
2025-12-02 12:40:35,824 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.46'. for CBM at row index 4
2025-12-02 12:40:35,824 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.8216 from '2.2*1.8*0.46' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.46')]). for CBM at row index 4
2025-12-02 12:40:35,824 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 5
2025-12-02 12:40:35,824 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.54'. for CBM at row index 6
2025-12-02 12:40:35,824 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.1384 from '2.2*1.8*0.54' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.54')]). for CBM at row index 6
2025-12-02 12:40:35,824 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.49'. for CBM at row index 7
2025-12-02 12:40:35,824 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.9404 from '2.2*1.8*0.49' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.49')]). for CBM at row index 7
2025-12-02 12:40:35,825 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 8
2025-12-02 12:40:35,826 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.42'. for CBM at row index 9
2025-12-02 12:40:35,826 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.6632 from '2.2*1.8*0.42' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.42')]). for CBM at row index 9
2025-12-02 12:40:35,874 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.7'. for CBM at row index 10
2025-12-02 12:40:35,875 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.7720 from '2.2*1.8*0.7' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.7')]). for CBM at row index 10
2025-12-02 12:40:35,875 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.65'. for CBM at row index 11
2025-12-02 12:40:35,876 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.5740 from '2.2*1.8*0.65' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.65')]). for CBM at row index 11
2025-12-02 12:40:35,876 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 12
2025-12-02 12:40:35,876 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.76'. for CBM at row index 13
2025-12-02 12:40:35,876 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 3.0096 from '2.2*1.8*0.76' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.76')]). for CBM at row index 13
2025-12-02 12:40:35,876 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.27'. for CBM at row index 14
2025-12-02 12:40:35,876 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.0692 from '2.2*1.8*0.27' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.27')]). for CBM at row index 14
2025-12-02 12:40:35,877 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 15
2025-12-02 12:40:35,880 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.38'. for CBM at row index 16
2025-12-02 12:40:35,882 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.5048 from '2.2*1.8*0.38' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.38')]). for CBM at row index 16
2025-12-02 12:40:35,883 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.42'. for CBM at row index 17
2025-12-02 12:40:35,883 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.6632 from '2.2*1.8*0.42' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.42')]). for CBM at row index 17
2025-12-02 12:40:35,883 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 18
2025-12-02 12:40:35,883 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.67'. for CBM at row index 19
2025-12-02 12:40:35,883 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.6532 from '2.2*1.8*0.67' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.67')]). for CBM at row index 19
2025-12-02 12:40:35,883 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.6'. for CBM at row index 20
2025-12-02 12:40:35,883 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.3760 from '2.2*1.8*0.6' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.6')]). for CBM at row index 20
2025-12-02 12:40:35,884 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 21
2025-12-02 12:40:35,884 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.49'. for CBM at row index 22
2025-12-02 12:40:35,884 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.9404 from '2.2*1.8*0.49' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.49')]). for CBM at row index 22
2025-12-02 12:40:35,884 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 23
2025-12-02 12:40:35,884 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.6'. for CBM at row index 24
2025-12-02 12:40:35,884 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.3760 from '2.2*1.8*0.6' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.6')]). for CBM at row index 24
2025-12-02 12:40:35,884 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.6'. for CBM at row index 25
2025-12-02 12:40:35,885 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.3760 from '2.2*1.8*0.6' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.6')]). for CBM at row index 25
2025-12-02 12:40:35,885 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.6'. for CBM at row index 26
2025-12-02 12:40:35,885 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.3760 from '2.2*1.8*0.6' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.6')]). for CBM at row index 26
2025-12-02 12:40:35,885 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.4'. for CBM at row index 27
2025-12-02 12:40:35,885 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.5840 from '2.2*1.8*0.4' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.4')]). for CBM at row index 27
2025-12-02 12:40:35,885 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 28
2025-12-02 12:40:35,885 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 29
2025-12-02 12:40:35,885 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.47'. for CBM at row index 30
2025-12-02 12:40:35,886 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.8612 from '2.2*1.8*0.47' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.47')]). for CBM at row index 30
2025-12-02 12:40:35,886 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 31
2025-12-02 12:40:35,886 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.7'. for CBM at row index 32
2025-12-02 12:40:35,886 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.7720 from '2.2*1.8*0.7' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.7')]). for CBM at row index 32
2025-12-02 12:40:35,886 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.69'. for CBM at row index 33
2025-12-02 12:40:35,886 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.7324 from '2.2*1.8*0.69' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.69')]). for CBM at row index 33
2025-12-02 12:40:35,886 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 34
2025-12-02 12:40:35,886 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.65'. for CBM at row index 35
2025-12-02 12:40:35,886 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.5740 from '2.2*1.8*0.65' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.65')]). for CBM at row index 35
2025-12-02 12:40:35,887 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.63'. for CBM at row index 36
2025-12-02 12:40:35,887 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 2.4948 from '2.2*1.8*0.63' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.63')]). for CBM at row index 36
2025-12-02 12:40:35,887 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 37
2025-12-02 12:40:35,887 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.4'. for CBM at row index 38
2025-12-02 12:40:35,887 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.5840 from '2.2*1.8*0.4' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.4')]). for CBM at row index 38
2025-12-02 12:40:35,887 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 39
2025-12-02 12:40:35,888 - DEBUG - data_processor.py:242 - [_calculate_single_cbm] Attempting to parse CBM string: '2.2*1.8*0.37'. for CBM at row index 40
2025-12-02 12:40:35,888 - DEBUG - data_processor.py:277 - [_calculate_single_cbm] Calculated CBM volume: 1.4652 from '2.2*1.8*0.37' (Dims: [Decimal('2.2'), Decimal('1.8'), Decimal('0.37')]). for CBM at row index 40
2025-12-02 12:40:35,888 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 41
2025-12-02 12:40:35,888 - DEBUG - data_processor.py:216 - [_calculate_single_cbm] Input CBM value is None. for CBM at row index 42
2025-12-02 12:40:35,888 - INFO - data_processor.py:318 - [process_cbm_column] Finished processing 'col_cbm' column. List now contains calculated values (Decimals or Nones).
2025-12-02 12:40:35,888 - INFO - main.py:549 - Table 1: Distributing values...
2025-12-02 12:40:35,888 - DEBUG - data_processor.py:333 - [distribute_values] Starting value distribution process.
2025-12-02 12:40:35,888 - INFO - data_processor.py:404 - [distribute_values] Starting value distribution for columns: ['col_net', 'col_gross', 'col_cbm'] based on 'col_qty_pcs' (43 rows).
2025-12-02 12:40:35,890 - DEBUG - data_processor.py:411 - [distribute_values] Pre-converted basis values (first 10): [Decimal('181'), Decimal('35'), Decimal('193'), Decimal('4'), Decimal('104'), Decimal('1'), Decimal('150'), Decimal('113'), Decimal('5'), Decimal('12')]
2025-12-02 12:40:35,891 - INFO - data_processor.py:415 - [distribute_values] Processing column for distribution: 'col_net'
2025-12-02 12:40:35,892 - DEBUG - data_processor.py:430 - [distribute_values] Pre-converted values for 'col_net' (first 10): [Decimal('797'), None, Decimal('484.5'), None, Decimal('443'), None, Decimal('601.5'), Decimal('473'), None, Decimal('42')]
2025-12-02 12:40:35,893 - DEBUG - data_processor.py:443 - [distribute_values] Col 'col_net', Row index 0: Found distributable value: 797
2025-12-02 12:40:35,894 - DEBUG - data_processor.py:462 - [distribute_values] Col 'col_net', Row index 0: Lookahead index 1 is part of block (Original val empty/zero, Basis=35).
2025-12-02 12:40:35,899 - DEBUG - data_processor.py:454 - [distribute_values] Col 'col_net', Row index 0: Lookahead stopped at index 2. Found non-empty/zero value 484.5 in original data.
2025-12-02 12:40:35,900 - DEBUG - data_processor.py:469 - [distribute_values] Col 'col_net', Row index 0: Lookahead finished. Indices in distribution block (excluding start row 0): [1]
2025-12-02 12:40:35,900 - DEBUG - data_processor.py:474 - [distribute_values] Col 'col_net', Row index 0: Identified distribution block indices: [0, 1]
2025-12-02 12:40:35,900 - ERROR - main.py:560 - Unexpected distribution error Table 1: cannot access local variable 'total_basis_in_in_block' where it is not associated with a value
Traceback (most recent call last):
  File "C:\Users\JPZ031127\Desktop\main_stream_lit_giyo\GENERATE_INVOICE_STREAMLIT_WEB\core\data_parser\main.py", line 551, in run_invoice_automation
    data_after_distribution = data_processor.distribute_values(data_after_cbm, cfg.COLUMNS_TO_DISTRIBUTE, cfg.DISTRIBUTION_BASIS_COLUMN)
                              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\JPZ031127\Desktop\main_stream_lit_giyo\GENERATE_INVOICE_STREAMLIT_WEB\core\data_parser\data_processor.py", line 483, in distribute_values
    total_basis_in_in_block += basis_val
    ^^^^^^^^^^^^^^^^^^^^^^^
UnboundLocalError: cannot access local variable 'total_basis_in_in_block' where it is not associated with a value
2025-12-02 12:40:35,903 - INFO - main.py:574 - Table 1: Updating global STANDARD aggregation...
2025-12-02 12:40:35,904 - DEBUG - data_processor.py:610 - [aggregate_standard] Updating global STANDARD aggregation (SQFT & Amount by PO/Item/Price/Desc) with new table data.
2025-12-02 12:40:35,904 - DEBUG - data_processor.py:611 - [aggregate_standard] Size of global map BEFORE processing this table: 0
2025-12-02 12:40:35,904 - INFO - data_processor.py:629 - [aggregate_standard] 'col_desc' column not found or is invalid. Will use None for description keys.
2025-12-02 12:40:35,904 - DEBUG - data_processor.py:641 - [aggregate_standard] Input data contains lists. Number of rows based on 'col_po' list: 43
2025-12-02 12:40:35,904 - INFO - data_processor.py:659 - [aggregate_standard] Processing 43 rows for STANDARD aggregation (SQFT & Amount by PO/Item/Price/Desc).
2025-12-02 12:40:35,904 - DEBUG - data_processor.py:669 - [aggregate_standard] Table Row index 0 --- Processing ---
2025-12-02 12:40:35,904 - DEBUG - data_processor.py:677 - [aggregate_standard] Table Row index 0: Raw values - PO='9000798713', Item='01.10.W653191', Price='1.3', Desc='None', SQFT='9107.2', Amount='11839.36'
2025-12-02 12:40:35,904 - DEBUG - data_processor.py:694 - [aggregate_standard] Table Row index 0: Generated Key Tuple = ('9000798713', '01.10.W653191', Decimal('1.3'), None)
2025-12-02 12:40:35,905 - DEBUG - data_processor.py:669 - [aggregate_standard] Table Row index 1 --- Processing ---
2025-12-02 12:40:35,905 - DEBUG - data_processor.py:677 - [aggregate_standard] Table Row index 1: Raw values - PO='9000798713', Item='01.10.W653191', Price='1.17', Desc='None', SQFT='1386.1', Amount='1621.737'
2025-12-02 12:40:35,905 - DEBUG - data_processor.py:694 - [aggregate_standard] Table Row index 1: Generated Key Tuple = ('9000798713', '01.10.W653191', Decimal('1.17'), None)
2025-12-02 12:40:35,905 - DEBUG - data_processor.py:669 - [aggregate_standard] Table Row index 2 --- Processing ---
2025-12-02 12:40:35,905 - DEBUG - data_processor.py:677 - [aggregate_standard] Table Row index 2: Raw values - PO='9000761021', Item='01.10.W061010', Price='1', Desc='None', SQFT='6871.8', Amount='6871.8'
2025-12-02 12:40:35,905 - DEBUG - data_processor.py:694 - [aggregate_standard] Table Row index 2: Generated Key Tuple = ('9000761021', '01.10.W061010', Decimal('1'), None)
